work_id,title,author,rating,category,fandom,relationship,character,additional tags,language,published,status,status date,words,chapters,comments,kudos,bookmarks,hits,all_kudos
51637105,5+1 Moments from the Life of Inspector Javert,['sekwoja'],Teen And Up Audiences,"Gen, M/M","Les Misérables - All Media Types, Les Misérables - Victor Hugo, Les Misérables - Schönberg/Boublil","Javert & Jean Valjean, Javert & Javert's Mother (Les Misérables), Javert/Jean Valjean","Javert (Les Misérables), Jean Valjean, Cosette Fauchelevent, Javert's Mother (Les Misérables)","Canon Compliant, until it's not anymore, Fix-It, 5+1 Things, trying to make it historically accurate, did i succeed? who knows, Hurt/Comfort, Character Study, Javert's Suicide (Les Misérables), Jean Valjean Saves Javert, Romani Javert (Les Misérables), Autistic Javert (Les Misérables), no beta we die like canon Javert, I'm so late in this fandom, we don't know Javert's canon name so for the first two chapters he is referred to as a ""child"", this fic covers the whole life of Javert so you're going to have to wait for Valjean for a while, Javert and Valjean's relationship is up for your interpretation, since this is mostly written as an internal monologue, don't expect too much from characters other than Javert himself",Polski,2023-11-16,Updated,2023-11-16,"6,124",2/6,1,2,null,44,"['Alex_cupcake_27', 'bazyl_szalony']"
51636646,A flicker of light,['M_Moonshade'],General Audiences,"Gen, M/M",Les Misérables - All Media Types,"Javert/Jean Valjean, Fantine & Jean Valjean, Fantine & Javert","Fantine (Les Misérables), Javert (Les Misérables)","domestic moment, Valjean has trauma, Javert and Fantine look out for him, established Valvert",English,2023-11-16,Completed,2023-11-16,"1,880",1/1,7,25,4,150,"['AdorableDimples', 'dwellin', 'Sleep_Deprived_Dumbass', 'AshflameTheWaffle', 'mynameinvalid', 'Akanague', 'bran4ever', 'Frenchfries145', 'Augety_Whisper', 'thecuckoointhedephtsofthewoods', 'Toorta', '0zzysaurus', 'Norian', 'Fanastixx', 'ifarali', 'HeartbreakTerrorBird', 'Xythia', 'AlexKenmore', 'kanpohongchendeC', 'Readerofmuch', 'aftershocked']"
51634531,pretty under lightning,['aftershocked'],Explicit,M/M,"Les Misérables - All Media Types, Les Misérables - Victor Hugo, Les Misérables - Schönberg/Boublil",Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean","Crossdressing, Crossdressing Kink, Oral Sex, Established Relationship, Post-Seine, 7k of vj getting hot and bothered by javert in drag, also this is incredibly contrived. don't look at me., Kinktober 2023",English,2023-11-16,Completed,2023-11-16,"7,020",1/1,12,21,null,252,"['Nabrah87', 'PoemAboutCitylights', 'Froggiespit', 'CheWunYaVal', 'Verin2000', 'sylvie_rue', 'thecuckoointhedephtsofthewoods', 'FizzingWhizzbee204', 'Magnomast', 'MoonyJulian', 'deathbywikipedia', 'Fanastixx', 'Music_is_life_2788', 'M_Moonshade', 'AlexKenmore', 'kanpohongchendeC', '0zzysaurus', 'HeartbreakTerrorBird']"
51540460,Mala Fide,['JauntyHako'],Teen And Up Audiences,M/M,Les Misérables - All Media Types,Javert/Jean Valjean,"Jean Valjean, Javert (Les Misérables)","Alternate Universe - Modern Setting, Fake/Pretend Relationship",English,2023-11-12,Completed,2023-11-12,"5,340",1/1,5,33,2,250,"['Yondi', 'PoemAboutCitylights', 'ElectricEuphonium', 'breathingsarcasm', 'Hjelp', 'WhaleTheUnicorn', 'Calico_Gremlin', 'AlexaHiwatari98', 'leonardo_tortellini', 'angry_jewish_magical_girl', 'CheWunYaVal', 'TheVoodooBabe', 'burning_hubris', 'MoonyJulian', 'thegreatgaygay', 'Magnomast', 'aftershocked', 'M_Moonshade', 'thecuckoointhedephtsofthewoods']"
51525244,Dammit,['Breadvidence'],Explicit,M/M,"Les Misérables - All Media Types, Les Misérables (Dallas 2014), Les Misérables - Victor Hugo","Javert/Jean Valjean, Cosette Fauchelevent/Marius Pontmercy","the rosary (Les Misérables 2012), Javert (Les Misérables), Jean Valjean, Cosette Fauchelevent, Marius Pontmercy","Alternate Universe - Modern Setting, Alternate Universe - Javert Survives, Alternate Universe - Valjean Survives, Alternate Universe - A Lot of People Survive Actually, Fix-It, Post-Seine",English,2023-11-11,Updated,2023-12-11,"17,203",4/?,23,28,3,391,"['TheVoodooBabe', 'JeraldOfRivers', 'all_things_it_devours', 'emjam', 'orangeappeals', 'PilferingApples', 'Oldkaktus', 'VV2006', 'brute', 'utrumlibet', 'PatPatria', 'Norian', 'atropos_moth', 'M_Moonshade', 'kanpohongchendeC', 'TheLifeOfEmm', 'ifarali', '0zzysaurus', 'HeartbreakTerrorBird', 'ellen_fremedon', 'thegreatgaygay']"
51507928,【Valvert】【Valjean/Javert】Drift with the Flow（现代AU，破镜重圆，R）,['Lokitten'],Mature,M/M,"Les Misérables - All Media Types, Les Misérables - Victor Hugo",Javert/Jean Valjean,"Jean Valjean, Javert (Les Misérables)","Angst with a Happy Ending, Second Chances, Love Confessions, Past Relationship(s), Mutual Pining, Reconciliation, Alternate Universe - Modern Setting",中文-普通话 國語,2023-11-11,Completed,2023-11-11,"5,035",1/1,2,9,2,158,"['Abigail_Hannigram', 'IbaraJin', 'CheWunYaVal', 'kanpohongchendeC', 'Hazel_Z']"
51493195,Holy Revival,['PoemAboutCitylights'],Explicit,M/M,"Les Misérables - All Media Types, Les Misérables - Victor Hugo, Les Misérables (2012), Les Misérables - Schönberg/Boublil",Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean, Cosette Fauchelevent, Marius Pontmercy, M. Thénardier (Les Misérables)","Enemies to Lovers, Realisations, Javert's Confused Boner (Les Misérables), Hand Jobs, First Kiss, First Time, Bible Quotes, Tight Spaces, Coming In Pants, Trapped In A Closet, (not really) - Freeform, Long-Haired Javert is essential for my sanity, romantic feelings",English,2023-11-10,Completed,2023-11-10,"4,453",1/1,8,36,1,315,"['3benjamins', 'ifwecouldonlyturnbacktime', 'RiversAndBeaconhills', 'no_nightingales_here', '00Nightfall', 'Sol_Altair', 'leonardo_tortellini', 'Alex_cupcake_27', 'Free_spirit_1992', 'ElectricEuphonium', 'Music_is_life_2788', 'Abigail_Hannigram', 'atropos_moth', 'kanpohongchendeC', 'TheLifeOfEmm', 'MoonyJulian', 'thecuckoointhedephtsofthewoods', 'AlexKenmore', 'thegreatgaygay', 'lewisshamilton', 'HeartbreakTerrorBird']"
51487693,dost thou not feel fed?,['aftershocked'],Explicit,M/M,"Les Misérables - All Media Types, Les Misérables - Victor Hugo, Les Misérables - Schönberg/Boublil",Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean","Overstimulation, Hand Jobs, Anal Play, Mild Praise Kink, Madeleine Era, Ficlet, Plot What Plot/Porn Without Plot, Mildly Dubious Consent, Kinktober 2023, Bottom Javert (Les Misérables), Prostate Milking",English,2023-11-10,Completed,2023-11-10,"1,409",1/1,6,36,4,457,"['00Nightfall', 'AngryLittleMan', 'AcaciaPycnantha', 'CheWunYaVal', 'Lovely_Nightmares', 'AthenaGM', 'Jougetsu', 'Alexandra_Ace_Dorothy', 'jenny_despot', 'DinosaurAtDusk', 'Sol_Altair', 'Nofsky8', 'DumbHomesickAlien', 'bafi', 'oiseaudefeu', 'atropos_moth', 'Lannyg4', 'Ehgis', '0zzysaurus', 'Hazel_Z', 'Fanastixx', 'fra12', 'Dolphin_yearning_for_sky', 'Norian', 'Music_is_life_2788', 'MoonyJulian', 'no_nightingales_here', 'HeartbreakTerrorBird', 'AlexKenmore', 'thecuckoointhedephtsofthewoods']"
51487138,me and my double heart,['aftershocked'],Explicit,M/M,"Les Misérables - All Media Types, Les Misérables - Victor Hugo, Les Misérables - Schönberg/Boublil","Javert/Jean Valjean, Javert/Rivette (Les Misérables)","Javert (Les Misérables), Jean Valjean, Rivette (Les Misérables)","Spitroasting, Threesome - M/M/M, Oral Sex, Deepthroating, Anal Sex, Ficlet, Plot What Plot/Porn Without Plot, Kinktober 2023, Bottom Javert (Les Misérables), Light Dom/sub, like. incredibly light., nebulous paris or post-seine era, Threesome",English,2023-11-10,Completed,2023-11-10,"1,271",1/1,2,9,1,247,"['Verin2000', 'thecuckoointhedephtsofthewoods', 'no_nightingales_here', 'kanpohongchendeC', 'TheLifeOfEmm', 'Music_is_life_2788', '3lys3', 'MoonyJulian']"
51483700,"oh, mercy me, when you hold me it's knee jerk",['aftershocked'],Explicit,M/M,"Les Misérables - All Media Types, Les Misérables - Victor Hugo, Les Misérables - Schönberg/Boublil",Javert/Jean Valjean,"Javert (Les Misérables), Jean Valjean","Mpreg, Male Lactation, Hand Jobs, Nipple Play, Coming In Pants, Fluff and Smut, canon divergent msurm era ig, Established Relationship, Bottom Javert (Les Misérables), Kinktober 2023",English,2023-11-10,Completed,2023-11-10,"2,284",1/1,2,19,2,445,"['Love_Frenchie', 'sithmarauder', '00Nightfall', 'Jougetsu', 'Verin2000', 'Nofsky8', 'KermitTheNonLiving', 'jenny_despot', 'decafkaesque', 'kanpohongchendeC', 'fra12', 'M_Moonshade', 'Dolphin_yearning_for_sky', 'Music_is_life_2788', 'MoonyJulian']"
